Timestamp,Steps,PAM Score,tabel
2025-06-04 16:50:00,0,0.0,0
2025-06-04 16:51:00,0,0.0,0
2025-06-04 16:52:00,2,0.1875,0
2025-06-04 16:53:00,14,1.0625,0
2025-06-04 16:54:00,23,2.6875,1
2025-06-04 16:55:00,19,1.375,1
2025-06-04 16:56:00,3,0.75,0
2025-06-04 16:57:00,0,0.0,0
2025-06-04 16:58:00,0,0.0625,0
2025-06-04 16:59:00,0,0.125,0
2025-06-04 17:00:00,0,0.0,0
2025-06-04 17:01:00,0,0.0,0
2025-06-04 17:02:00,0,0.0,0
2025-06-04 17:03:00,0,0.0,0
2025-06-04 17:04:00,0,0.0,0
2025-06-04 17:05:00,0,0.0625,0
2025-06-04 17:06:00,24,1.5625,1
2025-06-04 17:07:00,0,0.6875,0
2025-06-04 17:08:00,0,0.25,0
2025-06-04 17:09:00,0,0.0625,0
2025-06-04 17:10:00,0,0.0625,0
2025-06-04 17:11:00,0,0.125,0
2025-06-04 17:12:00,18,1.9375,1
2025-06-04 17:13:00,6,1.0625,0
2025-06-04 17:14:00,0,0.0,0
2025-06-04 17:15:00,0,0.0625,0
2025-06-04 17:16:00,0,0.0,0
2025-06-04 17:17:00,0,0.0,0
2025-06-04 17:18:00,2,0.875,0
2025-06-04 17:19:00,0,0.3125,0
2025-06-04 17:20:00,0,0.0,0
2025-06-04 17:21:00,0,0.0,0
2025-06-04 17:22:00,0,0.0,0
2025-06-04 17:23:00,8,0.5,0
2025-06-04 17:24:00,0,1.0625,0
2025-06-04 17:25:00,1,0.1875,0
2025-06-04 17:26:00,0,0.0625,0
2025-06-04 17:27:00,1,0.0625,0
2025-06-04 17:28:00,0,0.0,0
2025-06-04 17:29:00,0,0.0,0
2025-06-04 17:30:00,0,0.125,0
2025-06-04 17:31:00,0,0.0625,0
2025-06-04 17:32:00,0,0.0625,0
2025-06-04 17:33:00,0,0.0,0
2025-06-04 17:34:00,0,0.0,0
2025-06-04 17:35:00,0,0.0,0
2025-06-04 17:36:00,0,0.0625,0
2025-06-04 17:37:00,0,1.125,0
2025-06-04 17:38:00,0,0.0625,0
2025-06-04 17:39:00,0,0.0,0
2025-06-04 17:40:00,0,0.5,0
2025-06-04 17:41:00,0,0.375,0
2025-06-04 17:42:00,0,0.125,0
2025-06-04 17:43:00,0,0.0,0
2025-06-04 17:44:00,3,0.6875,0
2025-06-04 17:45:00,1,0.125,0
2025-06-04 17:46:00,1,0.5,0
2025-06-04 17:47:00,0,0.375,0
2025-06-04 17:48:00,0,0.0625,0
2025-06-04 17:49:00,6,1.1875,0
2025-06-04 17:50:00,0,0.1875,0
2025-06-04 17:51:00,0,0.0,0
2025-06-04 17:52:00,0,0.0,0
2025-06-04 17:53:00,0,0.0,0
2025-06-04 17:54:00,0,0.0,0
2025-06-04 17:55:00,0,0.125,0
2025-06-04 17:56:00,0,0.375,0
2025-06-04 17:57:00,0,0.125,0
2025-06-04 17:58:00,0,0.1875,0
2025-06-04 17:59:00,0,0.0,0
2025-06-04 18:00:00,0,0.0,0
2025-06-04 18:01:00,0,0.0,0
2025-06-04 18:02:00,1,0.0625,0
2025-06-04 18:03:00,0,0.0,0
2025-06-04 18:04:00,0,0.0,0
2025-06-04 18:05:00,0,0.1875,0
2025-06-04 18:06:00,0,0.0,0
2025-06-04 18:07:00,0,0.0,0
2025-06-04 18:08:00,0,0.125,0
2025-06-04 18:09:00,0,0.1875,0
2025-06-04 18:10:00,0,0.0625,0
2025-06-04 18:11:00,0,0.0,0
2025-06-04 18:12:00,0,0.125,0
2025-06-04 18:13:00,0,0.5,0
2025-06-04 18:14:00,0,0.625,0
2025-06-04 18:15:00,1,0.4375,0
2025-06-04 18:16:00,0,0.0625,0
2025-06-04 18:17:00,0,0.1875,0
2025-06-04 18:18:00,4,0.8125,0
2025-06-04 18:19:00,4,0.75,0
2025-06-04 18:20:00,27,1.875,1
2025-06-04 18:21:00,27,2.1875,1
2025-06-04 18:22:00,31,1.875,1
2025-06-04 18:23:00,26,2.5625,1
2025-06-04 18:24:00,11,1.0,0
2025-06-04 18:25:00,0,0.75,0
2025-06-04 18:26:00,2,0.75,0
2025-06-04 18:27:00,68,5.0625,2
2025-06-04 18:28:00,59,4.8125,2
2025-06-04 18:29:00,1,1.125,0
2025-06-04 18:30:00,9,0.6875,0
2025-06-04 18:31:00,2,1.0,0
2025-06-04 18:32:00,0,1.125,0
2025-06-04 18:33:00,0,0.25,0
2025-06-04 18:34:00,0,0.125,0
2025-06-04 18:35:00,0,0.0,0
2025-06-04 18:36:00,1,0.125,0
2025-06-04 18:37:00,0,0.0625,0
2025-06-04 18:38:00,6,0.6875,0
2025-06-04 18:39:00,0,0.625,0
2025-06-04 18:40:00,0,1.0625,0
2025-06-04 18:41:00,0,0.875,0
2025-06-04 18:42:00,0,0.3125,0
2025-06-04 18:43:00,0,0.3125,0
2025-06-04 18:44:00,0,0.0,0
2025-06-04 18:45:00,0,0.0,0
2025-06-04 18:46:00,0,0.0,0
2025-06-04 18:47:00,1,0.0625,0
2025-06-04 18:48:00,0,0.0,0
2025-06-04 18:49:00,0,0.0625,0
2025-06-04 18:50:00,0,0.0,0
2025-06-04 18:51:00,0,0.0,0
2025-06-04 18:52:00,0,0.0,0
2025-06-04 18:53:00,0,0.1875,0
2025-06-04 18:54:00,0,0.0,0
2025-06-04 18:55:00,0,0.0625,0
2025-06-04 18:56:00,1,0.0,0
2025-06-04 18:57:00,0,0.0625,0
2025-06-04 18:58:00,0,0.0,0
2025-06-04 18:59:00,0,0.0,0
2025-06-04 19:00:00,0,0.0625,0
2025-06-04 19:01:00,3,0.875,0
2025-06-04 19:02:00,73,5.5625,2
2025-06-04 19:03:00,69,6.6875,2
2025-06-04 19:04:00,1,0.3125,0
2025-06-04 19:05:00,2,0.4375,0
2025-06-04 19:06:00,1,0.6875,0
2025-06-04 19:07:00,0,0.5625,0
2025-06-04 19:08:00,0,0.125,0
2025-06-04 19:09:00,9,1.0,0
2025-06-04 19:10:00,0,0.0625,0
2025-06-04 19:11:00,28,2.0,1
2025-06-04 19:12:00,1,1.0625,0
2025-06-04 19:13:00,2,0.625,0
2025-06-04 19:14:00,4,0.8125,0
2025-06-04 19:15:00,4,0.75,0
2025-06-04 19:16:00,6,0.6875,0
2025-06-04 19:17:00,24,2.125,1
2025-06-04 19:18:00,5,1.125,0
2025-06-04 19:19:00,12,1.25,0
2025-06-04 19:20:00,19,1.75,1
2025-06-04 19:21:00,16,1.1875,0
2025-06-04 19:22:00,1,1.125,0
2025-06-04 19:23:00,0,1.0,0
2025-06-04 19:24:00,0,0.25,0
2025-06-04 19:25:00,1,0.25,0
2025-06-04 19:26:00,0,0.5,0
2025-06-04 19:27:00,0,0.125,0
2025-06-04 19:28:00,0,0.0,0
2025-06-04 19:29:00,2,0.375,0
2025-06-04 19:30:00,10,0.8125,0
2025-06-04 19:31:00,7,1.5625,0
2025-06-04 19:32:00,10,1.3125,0
2025-06-04 19:33:00,2,0.6875,0
2025-06-04 19:34:00,0,0.125,0
2025-06-04 19:35:00,0,0.3125,0
2025-06-04 19:36:00,0,0.25,0
2025-06-04 19:37:00,0,0.0625,0
2025-06-04 19:38:00,5,0.6875,0
2025-06-04 19:39:00,0,0.5,0
2025-06-04 19:40:00,2,0.625,0
2025-06-04 19:41:00,13,0.8125,0
2025-06-04 19:42:00,0,0.0,0
2025-06-04 19:43:00,0,0.0,0
2025-06-04 19:44:00,0,0.0,0
2025-06-04 19:45:00,0,0.0,0
2025-06-04 22:25:00,0,0.0,0
2025-06-04 22:26:00,1,0.0625,0
2025-06-04 22:27:00,0,0.0,0
