Timestamp,Steps,PAM Score
1970-02-01 20:28:00,5,0.69
1970-02-02 00:44:00,4,0.88
1970-02-02 05:00:00,1,0.62
1970-02-02 09:16:00,1,0.31
1970-02-01 03:25:00,7,1.56
1970-02-01 07:41:00,4,0.81
1970-02-01 11:57:00,13,2.0
1970-02-01 16:13:00,6,0.75
1970-02-01 20:29:00,7,1.94
1970-02-02 00:45:00,6,0.56
1970-02-02 05:01:00,0,0.0
1970-02-02 09:17:00,21,2.12
1970-02-01 03:26:00,1,0.19
1970-02-01 07:42:00,15,2.12
1970-02-01 11:58:00,4,0.75
1970-02-01 16:14:00,0,0.0
1970-02-01 20:30:00,2,1.25
1970-02-02 00:46:00,1,1.06
1970-02-02 05:02:00,2,0.44
1970-02-02 09:18:00,9,1.19
1970-02-01 03:27:00,0,1.5
1970-02-01 07:43:00,2,1.12
1970-02-01 11:59:00,9,1.44
1970-02-01 16:15:00,16,2.0
1970-02-01 20:31:00,20,2.88
1970-02-02 00:47:00,10,2.06
1970-02-02 05:03:00,10,2.0
1970-02-02 09:19:00,4,1.31
1970-02-01 03:28:00,0,0.88
1970-02-01 07:44:00,0,0.94
1970-02-01 12:00:00,0,0.94
1970-02-01 16:16:00,0,1.0
1970-02-02 00:49:00,0,0.44
1970-02-02 05:05:00,8,1.31
1970-02-02 09:21:00,0,0.69
1970-02-01 03:30:00,8,1.69
1970-02-01 07:46:00,3,1.31
1970-02-01 12:02:00,4,1.5
1970-02-01 16:18:00,1,0.19
1970-02-01 20:34:00,9,1.12
1970-02-02 00:50:00,11,1.5
1970-02-02 05:06:00,1,1.0
1970-02-02 09:22:00,3,1.0
1970-02-01 03:31:00,13,2.62
1970-02-01 07:47:00,11,1.12
1970-02-01 12:03:00,1,1.0
1970-02-01 16:19:00,0,0.06
1970-02-01 20:35:00,2,0.38
1970-02-02 00:51:00,2,0.88
1970-02-02 05:07:00,1,0.81
1970-02-02 09:23:00,0,0.0
