Date,Steps,Activity Score,Zone 3 (Sport),Zone 2 (Health),Zone 1 (Living)
2025-06-02,0,0,0,0,0
2025-06-03,0,0,0,0,0
2025-06-04,2667,188,2,21,49
2025-06-05,5245,336,2,46,92
2025-06-06,10656,731,10,78,171
2025-06-07,0,0,0,0,0
2025-06-08,0,0,0,0,0
2025-06-09,3,0,0,0,0
2025-06-10,7083,454,0,44,167
2025-06-11,4293,270,0,37,83
