Date,Steps,Activity Score,Zone 3 (Sport),Zone 2 (Health),Zone 1 (Living)
2025-05-14,0,0,0,0,0
2025-05-15,0,0,0,0,0
2025-05-16,0,0,0,0,0
2025-05-17,0,0,0,0,0
2025-05-18,0,0,0,0,0
2025-05-19,0,0,0,0,0
2025-05-20,0,0,0,0,0
2025-05-21,997,108,1,10,22
2025-05-22,5598,529,19,60,60
2025-05-23,665,116,0,13,42
