Date,Steps,Activity Score,Zone 3 (Sport),Zone 2 (Health),Zone 1 (Living)
2025-05-26,0,0,0,0,0
2025-05-27,0,0,0,0,0
2025-05-28,0,0,0,0,0
2025-05-29,12074,1241,0,290,3
2025-05-30,4397,482,0,111,12
2025-05-31,1245,156,2,27,0
2025-06-01,57,10,0,0,0
2025-06-02,0,0,0,0,0
2025-06-03,0,0,0,0,0
2025-06-04,2511,270,7,47,22
