Timestamp,Steps,PAM Score
1970-02-01 06:49:00,0,0.0
1970-02-01 06:50:00,0,0.5
1970-02-01 06:51:00,0,0.0625
1970-02-01 06:52:00,0,0.0625
1970-02-01 06:53:00,0,0.0
1970-02-01 06:54:00,0,0.0625
1970-02-01 09:24:00,0,0.0625
1970-02-01 09:25:00,9,1.375
1970-02-01 09:26:00,8,1.375
1970-02-01 09:27:00,2,0.5625
1970-02-01 09:28:00,0,0.0
1970-02-01 09:29:00,0,0.375
1970-02-01 09:30:00,0,0.25
1970-02-01 09:31:00,0,0.0
1970-02-01 09:32:00,12,0.5
1970-02-01 09:33:00,2,0.25
1970-02-01 09:34:00,0,0.0
1970-02-01 09:35:00,0,0.0
1970-02-01 09:36:00,9,1.1875
1970-02-01 09:37:00,0,0.0625
