Date,Steps,Activity Score,Zone 3 (Sport),Zone 2 (Health),Zone 1 (Living)
2025-05-28,0,0,0,0,0
2025-05-29,12307,1228,0,288,3
2025-05-30,4197,468,0,110,9
2025-05-31,1150,158,3,26,0
2025-06-01,34,11,0,0,3
